movie_name,release_date,runtime,movie_genre,movie_director,producer,banner
Angrezi Medium,2020-03-13,145,Drama,Homi Adajania,Dinesh Vijan,Maddock Films
Baaghi 3,2020-03-06,147,Action,Ahmed Khan,Sajid Nadiadwala,Nadiadwala Grandson Entertainment
Thappad,2020-02-28,142,Drama,Anubhav Sinha,Bhushan Kumar,Benaras Media Works
Shubh Mangal Zyada Saavdhan,2020-02-21,120,Comedy,Hitesh Kewalya,Aanand L Rai,Colour Yellow Productions Pvt Ltd
Bhoot: Part One - The Haunted Ship,2020-02-21,117,Horror,Bhanu Pratap Singh,Hiroo Johar,Dharma Productions
Love Aaj Kal,2020-02-14,141,Romance,Imtiaz Ali,Dinesh Vijan,Maddock Films
Malang,2020-02-07,134,Romance,Mohit Suri,Bhushan Kumar,Luv Films
Shikara,2020-02-07,120,Drama,Vidhu Vinod Chopra,Vidhu Vinod Chopra,Fox Star Studios
Jawaani Jaaneman,2020-01-31,119,Comedy,Nitin Kakkar,Jackky Bhagnani,Pooja Entertainment
Panga,2020-01-24,129,Sports,Ashwiny Iyer Tiwari,Fox Star Studios,Fox Star Studios
Street Dancer 3D,2020-01-24,144,Dance,Remo D'Souza,Bhushan Kumar,T-Series Super Cassettes Industries Ltd.
Tanhaji: The Unsung Warrior,2020-01-10,134,Historical,Om Raut,Ajay Devgn,T-Series Super Cassettes Industries Ltd.
Chhapaak,2020-01-10,123,Drama,Meghna Gulzar,Fox Star Studios,Fox Star Studios
Good Newwz,2019-12-27,134,Comedy,Raj Mehta,Hiroo Johar,Dharma Productions
Dabangg 3,2019-12-20,163,Action,Prabhu Deva,Salma Khan,Salman Khan Films
Mardaani 2,2019-12-13,106,Crime,Gopi Puthran,Aditya Chopra,Yash Raj Films
Pati Patni Aur Woh,2019-12-06,128,Comedy,Mudassar Aziz,Bhushan Kumar,B R Studios
Panipat,2019-12-06,162,Historical,Ashutosh Gowariker,Sunita Gowariker,Ashutosh Gowariker Productions
Commando 3,2019-11-29,133,Action,Aditya Datt,Vipul Shah,Sunshine Pictures Pvt. Ltd
Marjaavaan,2019-11-15,137,Action,Milap Zaveri,Bhushan Kumar,Emmay Entertainment Pvt. Ltd
Bala,2019-11-08,129,Comedy,Amar Kaushik,Dinesh Vijan,Maddock Films
Ujda Chaman,2019-11-01,120,Comedy,Abhishek Pathak,Kumar Mangat Pathak,Panorama Studios
Housefull 4,2019-10-25,142,Comedy,Farhad Samji,Sajid Nadiadwala,Nadiadwala Grandson Entertainment
Saand Ki Aankh,2019-10-25,149,Biographical,Tushar Hiranandani,Reliance Entertainment,Reliance Entertainment
The Sky Is Pink,2019-10-11,149,Biographical,Shonali Bose,Siddharth Roy Kapur,RSVP
Sye Raa Narasimha Reddy,2019-10-02,170,Historical,Surender Reddy,Ram Charan,Konidela Production Company
War,2019-10-02,156,Action,Siddharth Anand,Aditya Chopra,Yash Raj Films
Pal Pal Dil Ke Paas,2019-09-20,153,Romance,Sunny Deol,Zee Studios,Zee Studios
Section 375,2019-09-13,124,Drama,Ajay Bahl,Kumar Mangat Pathak,Panorama Studios
Dream Girl,2019-09-13,132,Comedy,Raaj Shaandilyaa,Shobha Kapoor,Balaji Motion Pictures
Chhichhore,2019-09-06,146,Comedy,Nitesh Tiwari,Sajid Nadiadwala,Fox Star Studios
Saaho,2019-08-30,171,Action,Sujeeth,Vamsi - Pramod,UV Creations
Batla House,2019-08-15,146,Action,Nikhil Advani,Bhushan Kumar,T-Series Super Cassettes Industries Ltd.
Mission Mangal,2019-08-15,133,Drama,Jagan Shakti,Cape of Good Films,Fox Star Studios
Jabariya Jodi,2019-08-09,144,Action,Prashant Singh,Shobha Kapoor,Balaji Motion Pictures
Judgemental Hai Kya,2019-07-26,121,Comedy,Prakash Kovelamudi,Shobha Kapoor,Karma Media and Entertainment
Super 30,2019-07-12,154,Biographical,Vikas Bahl,Nadiadwala Grandson Entertainment,Nadiadwala Grandson Entertainment
Article 15,2019-06-28,131,Crime,Anubhav Sinha,Anubhav Sinha,Zee Studios
Kabir Singh,2019-06-21,175,Drama,Sandeep Reddy Vanga,Bhushan Kumar,T-Series Super Cassettes Industries Ltd.
Game Over,2019-06-14,103,Thriller,Ashwin Saravanan,S. Sashikanth,Y Not Studios
Bharat,2019-06-05,155,Drama,Ali Abbas Zafar,Atul Agnihotri,Salman Khan Films
PM Narendra Modi,2019-05-24,131,Biographical,Omung Kumar,Suresh Oberoi,Legend Studios
India's Most Wanted,2019-05-24,123,Action,Rajkumar Gupta,Fox Star Studios,Fox Star Studios
De De Pyaar De,2019-05-17,135,Comedy,Akiv Ali,Bhushan Kumar,Luv Films
Student Of The Year 2,2019-05-10,146,Drama,Punit Malhotra,Hiroo Johar,Dharma Productions
Blank,2019-05-03,111,Action,Tony D'souza,Sunny Deol,Behzad Khambata
Kalank,2019-04-17,168,Period,Abhishek Varman,Karan Johar,Fox Star Studios
The Tashkent Files,2019-04-12,144,Drama,Vivek Agnihotri,Pranay Chokshi,Zee Studios
Romeo Akbar Walter,2019-04-05,145,Spy,Robbie Grewal,Viacom18 Motion Pictures,Viacom18 Motion Pictures
Junglee,2019-03-29,115,Action,Chuck Russell,Vineet Jain,Junglee Pictures
Kesari,2019-03-21,150,Period,Anurag Singh,Hiroo Johar,Azure Entertainment
Badla,2019-03-08,120,Crime,Sujoy Ghosh,Akshai Puri,Red Chillies Entertainment
Luka Chuppi,2019-03-01,126,Comedy,Laxman Utekar,Dinesh Vijan,Maddock Films
Sonchiriya,2019-03-01,146,Crime,Abhishek Chaubey,Ronnie Screwvala,RSVP
Total Dhamaal,2019-02-22,130,Comedy,Indra Kumar,Ajay Devgn,Fox Star Studios
Gully Boy,2019-02-14,156,Musical,Zoya Akhtar,Ritesh Sidhwani,Excel Entertainment
Amavas,2019-02-08,134,Horror,Bhushan Patel,Raina Sachiin Joshi,Viiking Media & Entertainment Pvt Ltd.
Ek Ladki Ko Dekha Toh Aisa Laga,2019-02-01,121,Romance,Shelly Chopra Dhar,Vidhu Vinod Chopra,Vinod Chopra Films
Manikarnika: The Queen Of Jhansi,2019-01-25,148,Biographical,Krish,Zee Studios,Zee Studios
Thackeray,2019-01-25,139,Biographical,Abhijit Panse,Viacom18 Motion Pictures,Viacom18 Motion Pictures
Why Cheat India,2019-01-18,121,Drama,Soumik Sen,Bhushan Kumar,Ellipsis Entertainment
The Accidental Prime Minister,2019-01-11,112,Biographical,Sunil Bohra,Anupam Kher,Vijay Ratnakar Gutte
Uri: The Surgical Strike,2019-01-11,138,Action,Aditya Dhar,Ronnie Screwvala,RSVP
Simmba,2018-12-28,159,Action,Rohit Shetty,Hiroo Johar,Dharma Productions
KGF,2018-12-21,155,Action,Prashanth Neel,Vijay Kiragandur,Hombale Films
Zero,2018-12-21,158,Comedy,Aanand L Rai,Gauri Khan,Red Chillies Entertainment
Kedarnath,2018-12-07,120,Drama,Abhishek Kapoor,Ronnie Screwvala,Guy In The Sky Pictures
2,2018-11-29,146,Sci-fi,Shankar,Subaskaran,Lyca Productions
Bhaiaji Superhittt,2018-11-23,133,Comedy,Neerraj Pathak,Chirag Mahendra Dhariwal,Metro Movies
Pihu,2018-11-16,93,Drama,Vinod Kapri,Ronnie Screwvala,RSVP
Mohalla Assi,2018-11-16,120,Drama,Dr Chandrakprakash Dwivedi,Vinay Tiwari,Crossword Entertainment Pvt Ltd
Thugs Of Hindostan,2018-11-08,165,Action,Vijay Krishna Acharya,Aditya Chopra,Yash Raj Films
Baazaar,2018-10-26,140,Crime,Gauravv K Chawla,Dheeraj Wadhawan,Emmay Entertainment Pvt. Ltd
Badhaai Ho,2018-10-18,126,Comedy,Amit Ravindernath Sharma,Vineet Jain,Chrome Pictures
Tumbbad,2018-10-12,113,Horror,Rahi Anil Barve,Sohum Shah,Eros International
AndhaDhun,2018-10-05,140,Thriller,Sriram Raghavan,Ayushman Khurana,Viacom18 Motion Pictures
Sui Dhaaga: Made In India,2018-09-28,122,Drama,Sharat Katariya,Maneesh Sharma,Yash Raj Films
Pataakha,2018-09-28,136,Drama,Vishal Bhardwaj,Dheeraj Wadhawan,Kyta Productions
Batti Gul Meter Chalu,2018-09-21,163,Drama,Shree Narayan Singh,Bhushan Kumar,T-Series Super Cassettes Industries Ltd.
Manmarziyaan,2018-09-14,157,Drama,Anurag Kashyap,Aanand L Rai,Colour Yellow Productions Pvt Ltd
Yamla Pagla Deewana Phir Se,2018-08-31,148,Comedy,Bobby Deol,,Navaniat Singh
Stree,2018-08-31,130,Comedy,Amar Kaushik,Dinesh Vijan,Maddock Films
Happy Phirr Bhag Jayegi,2018-08-24,137,Comedy,Mudassar Aziz,Aanand L Rai,Eros International
Gold,2018-08-15,153,,Reema Kagti,Ritesh Sidhwani,Excel Entertainment
Satyameva Jayate,2018-08-15,141,Action,Milap Zaveri,Bhushan Kumar,T-Series Super Cassettes Industries Ltd.
Fanney Khan,2018-08-03,130,Drama,Atul Manjrekar,Bhushan Kumar,Rakeysh Omprakash Mehra Pictures
Mulk,2018-08-03,140,Drama,Anubhav Sinha,Deepak Mukut,Benaras Media Works
Karwaan,2018-08-03,120,Drama,Akarsh Khurana,Ronnie Screwvala,RSVP
Dhadak,2018-07-20,138,Drama,Shashank Khaitan,Karan Johar,Dharma Productions
Soorma,2018-07-13,131,Biographical,Shaad Ali,Sony Pictures Networks Productions,Sony Pictures Networks Productions
Sanju,2018-06-29,162,Biographical,Rajkumar Hirani,Vidhu Vinod Chopra,Vinod Chopra Films
Race 3,2018-06-15,160,Action,Remo D'Souza,Salma Khan,Tips Music Films
Veere Di Wedding,2018-06-01,125,Comedy,Shashanka Ghosh,Shobha Kapoor,Anil Kapoor Film Company
Parmanu: The Story of Pokhran,2018-05-25,130,Action,Abhishek Sharma,Zee Studios,Zee Studios
Raazi,2018-05-11,140,Drama,Meghna Gulzar,Vineet Jain,Dharma Productions
102 Not Out,2018-05-04,101,Comedy,Umesh Shukla,SPE Films India,Treetop Entertainment
